,ACC_Training,ACC_Testing
0,0.5304867625236511,0.5992893576622009
1,0.6176885366439819,0.6652191281318665
2,0.6355124115943909,0.652980625629425
3,0.6454960703849792,0.6558758020401001
4,0.6487111449241638,0.6577181220054626
5,0.6549156904220581,0.6692985892295837
6,0.6504597067832947,0.6575865149497986
7,0.6542952060699463,0.631267249584198
8,0.6566078066825867,0.6775891780853271
9,0.651757001876831,0.6832478046417236
10,0.6597101092338562,0.686274528503418
11,0.6555361151695251,0.6695618033409119
12,0.658920407295227,0.6702197790145874
13,0.6570590734481812,0.6904855966567993
14,0.6595972776412964,0.655612587928772
15,0.663320004940033,0.6890380382537842
16,0.6598792672157288,0.6704829335212708
17,0.6583563685417175,0.6777207255363464
18,0.6608381867408752,0.6765363812446594
19,0.6606689691543579,0.6620607972145081
20,0.65576171875,0.6891696453094482
21,0.6586948037147522,0.6665350794792175
22,0.6571718454360962,0.6956178545951843
23,0.6601049304008484,0.6814054250717163
24,0.6581871509552002,0.6487695574760437
25,0.6580743193626404,0.6752204298973083
26,0.662304699420929,0.6686406135559082
27,0.6637148261070251,0.7025924324989319
28,0.6610074043273926,0.6839057803153992
29,0.6633763909339905,0.6890380382537842
30,0.6576794981956482,0.6954862475395203
31,0.6634892225265503,0.6798263192176819
32,0.664448082447052,0.6774575710296631
33,0.6596536636352539,0.6848269701004028
34,0.6608945727348328,0.6808790564537048
35,0.6571718454360962,0.702724039554596
36,0.659935712814331,0.6702197790145874
37,0.662304699420929,0.6895644068717957
38,0.6623610854148865,0.6589024662971497
39,0.6615150570869446,0.6857481002807617
40,0.6608381867408752,0.6600868701934814
41,0.6607253551483154,0.6600868701934814
42,0.6603869199752808,0.6507435441017151
43,0.6627559661865234,0.6820634007453918
44,0.6544644236564636,0.6852217316627502
45,0.6620790958404541,0.6844321489334106
46,0.6648429036140442,0.6631135940551758
47,0.6646173000335693,0.6694301962852478
48,0.6583563685417175,0.6814054250717163
49,0.662812352180481,0.6735096573829651
50,0.6632071733474731,0.6781155467033386
51,0.6598792672157288,0.6878536939620972
52,0.6563258171081543,0.6949598789215088
53,0.6664786338806152,0.6879852414131165
54,0.6639968156814575,0.7045664191246033
55,0.6619098782539368,0.6671930551528931
56,0.6586948037147522,0.676010012626648
57,0.6653505563735962,0.6831161975860596
58,0.6607253551483154,0.6758784055709839
59,0.6594844460487366,0.651664674282074
60,0.661797046661377,0.6827214360237122
61,0.6601049304008484,0.661929190158844
62,0.663320004940033,0.6769312024116516
63,0.6632071733474731,0.6807474493980408
64,0.6651249527931213,0.7050927877426147
65,0.6587511897087097,0.6958810091018677
66,0.659428060054779,0.6879852414131165
67,0.6577358841896057,0.6694301962852478
68,0.6634892225265503,0.6724569201469421
69,0.6614586114883423,0.6869325041770935
70,0.6632071733474731,0.6717989444732666
71,0.6612330079078674,0.6624555587768555
72,0.6645609140396118,0.6654822826385498
73,0.6628687381744385,0.6731148958206177
74,0.6664786338806152,0.6703513860702515
75,0.6652941703796387,0.6923279166221619
76,0.6597101092338562,0.6508750915527344
77,0.6642224788665771,0.6960126161575317
78,0.6641660332679749,0.6628503799438477
79,0.6641096472740173,0.6762731671333313
80,0.658920407295227,0.6882484555244446
81,0.6620226502418518,0.6750888228416443
82,0.665068507194519,0.687590479850769
83,0.6633763909339905,0.6725885272026062
84,0.663432776927948,0.6928543448448181
85,0.6639968156814575,0.6975917816162109
86,0.6610637903213501,0.6860113143920898
87,0.661289393901825,0.6307408809661865
88,0.6603305339813232,0.6978549957275391
89,0.6598228812217712,0.6662718653678894
90,0.6581307649612427,0.6849585175514221
91,0.6587511897087097,0.6818002462387085
92,0.6636584401130676,0.6770627498626709
93,0.6606689691543579,0.6694301962852478
94,0.663432776927948,0.6881168484687805
95,0.661289393901825,0.6657454967498779
96,0.6595408916473389,0.6889064311981201
97,0.6571718454360962,0.6737728714942932
98,0.6587511897087097,0.6832478046417236
99,0.6595408916473389,0.6635083556175232
